ACCOUNT NAME,LAST DAY OF MONTH,AMOUNT
2401 Current Portion of Long Term Debt: Loan 1,01/31/2026,998333.3
2401 Current Portion of Long Term Debt: Loan 1,02/28/2026,998333.3
2401 Current Portion of Long Term Debt: Loan 1,03/31/2025,1000000
2401 Current Portion of Long Term Debt: Loan 1,04/30/2025,1000000
2401 Current Portion of Long Term Debt: Loan 1,05/31/2025,1000000
2401 Current Portion of Long Term Debt: Loan 1,06/30/2025,1000000
2401 Current Portion of Long Term Debt: Loan 1,07/31/2025,1000000
2401 Current Portion of Long Term Debt: Loan 1,08/31/2025,1000000
2401 Current Portion of Long Term Debt: Loan 1,09/30/2025,1000000
2401 Current Portion of Long Term Debt: Loan 1,10/31/2025,1000000
2401 Current Portion of Long Term Debt: Loan 1,11/30/2025,1000000
2401 Current Portion of Long Term Debt: Loan 1,12/31/2025,1000000
2402 Current Portion of Long Term Debt: Loan 2,01/31/2026,0
2402 Current Portion of Long Term Debt: Loan 2,02/28/2026,0
2402 Current Portion of Long Term Debt: Loan 2,03/31/2025,0
2402 Current Portion of Long Term Debt: Loan 2,04/30/2025,0
2402 Current Portion of Long Term Debt: Loan 2,05/31/2025,0
2402 Current Portion of Long Term Debt: Loan 2,06/30/2025,0
2402 Current Portion of Long Term Debt: Loan 2,07/31/2025,0
2402 Current Portion of Long Term Debt: Loan 2,08/31/2025,0
2402 Current Portion of Long Term Debt: Loan 2,09/30/2025,0
2402 Current Portion of Long Term Debt: Loan 2,10/31/2025,0
2402 Current Portion of Long Term Debt: Loan 2,11/30/2025,0
2402 Current Portion of Long Term Debt: Loan 2,12/31/2025,0
2720 LT Deferred Revenue,01/31/2026,151875
2720 LT Deferred Revenue,02/28/2026,151875
2720 LT Deferred Revenue,03/31/2025,150000
2720 LT Deferred Revenue,04/30/2025,150000
2720 LT Deferred Revenue,05/31/2025,150000
2720 LT Deferred Revenue,06/30/2025,150000
2720 LT Deferred Revenue,07/31/2025,150000
2720 LT Deferred Revenue,08/31/2025,150000
2720 LT Deferred Revenue,09/30/2025,150000
2720 LT Deferred Revenue,10/31/2025,150000
2720 LT Deferred Revenue,11/30/2025,150000
2720 LT Deferred Revenue,12/31/2025,150000
2730 Deferred Tax Liability,01/31/2026,30000
2730 Deferred Tax Liability,02/28/2026,30000
2730 Deferred Tax Liability,03/31/2025,30000
2730 Deferred Tax Liability,04/30/2025,30000
2730 Deferred Tax Liability,05/31/2025,30000
2730 Deferred Tax Liability,06/30/2025,30000
2730 Deferred Tax Liability,07/31/2025,30000
2730 Deferred Tax Liability,08/31/2025,30000
2730 Deferred Tax Liability,09/30/2025,30000
2730 Deferred Tax Liability,10/31/2025,30000
2730 Deferred Tax Liability,11/30/2025,30000
2730 Deferred Tax Liability,12/31/2025,30000
2790 LT Lease Liabilities,01/31/2026,0
2790 LT Lease Liabilities,02/28/2026,0
2790 LT Lease Liabilities,03/31/2025,0
2790 LT Lease Liabilities,04/30/2025,0
2790 LT Lease Liabilities,05/31/2025,0
2790 LT Lease Liabilities,06/30/2025,0
2790 LT Lease Liabilities,07/31/2025,0
2790 LT Lease Liabilities,08/31/2025,0
2790 LT Lease Liabilities,09/30/2025,0
2790 LT Lease Liabilities,10/31/2025,0
2790 LT Lease Liabilities,11/30/2025,0
2790 LT Lease Liabilities,12/31/2025,0
2801 Long Term Debt: Loan 1,01/31/2026,2025000
2801 Long Term Debt: Loan 1,02/28/2026,2025000
2801 Long Term Debt: Loan 1,03/31/2025,2750000
2801 Long Term Debt: Loan 1,04/30/2025,2666666.8
2801 Long Term Debt: Loan 1,05/31/2025,2583333.2
2801 Long Term Debt: Loan 1,06/30/2025,2500000
2801 Long Term Debt: Loan 1,07/31/2025,2416666.8
2801 Long Term Debt: Loan 1,08/31/2025,2333333.2
2801 Long Term Debt: Loan 1,09/30/2025,2250000
2801 Long Term Debt: Loan 1,10/31/2025,2166666.8
2801 Long Term Debt: Loan 1,11/30/2025,2083333.4
2801 Long Term Debt: Loan 1,12/31/2025,2000000
2802 Long Term Debt: Loan 2,01/31/2026,0
2802 Long Term Debt: Loan 2,02/28/2026,0
2802 Long Term Debt: Loan 2,03/31/2025,0
2802 Long Term Debt: Loan 2,04/30/2025,0
2802 Long Term Debt: Loan 2,05/31/2025,0
2802 Long Term Debt: Loan 2,06/30/2025,0
2802 Long Term Debt: Loan 2,07/31/2025,0
2802 Long Term Debt: Loan 2,08/31/2025,0
2802 Long Term Debt: Loan 2,09/30/2025,0
2802 Long Term Debt: Loan 2,10/31/2025,0
2802 Long Term Debt: Loan 2,11/30/2025,0
2802 Long Term Debt: Loan 2,12/31/2025,0
3000 Owners Equity,01/31/2026,0
3000 Owners Equity,02/28/2026,0
3000 Owners Equity,03/31/2025,0
3000 Owners Equity,04/30/2025,0
3000 Owners Equity,05/31/2025,0
3000 Owners Equity,06/30/2025,0
3000 Owners Equity,07/31/2025,0
3000 Owners Equity,08/31/2025,0
3000 Owners Equity,09/30/2025,0
3000 Owners Equity,10/31/2025,0
3000 Owners Equity,11/30/2025,0
3000 Owners Equity,12/31/2025,0
3010 Cumulative Translation Adjustment,01/31/2026,0
3010 Cumulative Translation Adjustment,02/28/2026,0
3010 Cumulative Translation Adjustment,03/31/2025,0
3010 Cumulative Translation Adjustment,04/30/2025,0
3010 Cumulative Translation Adjustment,05/31/2025,0
3010 Cumulative Translation Adjustment,06/30/2025,0
3010 Cumulative Translation Adjustment,07/31/2025,0
3010 Cumulative Translation Adjustment,08/31/2025,0
3010 Cumulative Translation Adjustment,09/30/2025,0
3010 Cumulative Translation Adjustment,10/31/2025,0
3010 Cumulative Translation Adjustment,11/30/2025,0
3010 Cumulative Translation Adjustment,12/31/2025,0
3100 Retained Earnings,01/31/2026,7589165.5
3100 Retained Earnings,02/28/2026,7589165.5
3100 Retained Earnings,03/31/2025,4818178
3100 Retained Earnings,04/30/2025,4818178
3100 Retained Earnings,05/31/2025,4818178
3100 Retained Earnings,06/30/2025,4818178
3100 Retained Earnings,07/31/2025,4818178
3100 Retained Earnings,08/31/2025,4818178
3100 Retained Earnings,09/30/2025,4818178
3100 Retained Earnings,10/31/2025,4818178
3100 Retained Earnings,11/30/2025,4818178
3100 Retained Earnings,12/31/2025,4818178
3102 Shareholder Distributions,01/31/2026,0
3102 Shareholder Distributions,02/28/2026,0
3102 Shareholder Distributions,03/31/2025,0
3102 Shareholder Distributions,04/30/2025,0
3102 Shareholder Distributions,05/31/2025,0
3102 Shareholder Distributions,06/30/2025,0
3102 Shareholder Distributions,07/31/2025,0
3102 Shareholder Distributions,08/31/2025,0
3102 Shareholder Distributions,09/30/2025,0
3102 Shareholder Distributions,10/31/2025,0
3102 Shareholder Distributions,11/30/2025,0
3102 Shareholder Distributions,12/31/2025,0
3210 Common Stock,01/31/2026,500000
3210 Common Stock,02/28/2026,500000
3210 Common Stock,03/31/2025,500000
3210 Common Stock,04/30/2025,500000
3210 Common Stock,05/31/2025,500000
3210 Common Stock,06/30/2025,500000
3210 Common Stock,07/31/2025,500000
3210 Common Stock,08/31/2025,500000
3210 Common Stock,09/30/2025,500000
3210 Common Stock,10/31/2025,500000
3210 Common Stock,11/30/2025,500000
3210 Common Stock,12/31/2025,500000
3400 Opening Balance,01/31/2026,0
3400 Opening Balance,02/28/2026,0
3400 Opening Balance,03/31/2025,0
3400 Opening Balance,04/30/2025,0
3400 Opening Balance,05/31/2025,0
3400 Opening Balance,06/30/2025,0
3400 Opening Balance,07/31/2025,0
3400 Opening Balance,08/31/2025,0
3400 Opening Balance,09/30/2025,0
3400 Opening Balance,10/31/2025,0
3400 Opening Balance,11/30/2025,0
3400 Opening Balance,12/31/2025,0
3500 Opening Balance Equity,01/31/2026,0
3500 Opening Balance Equity,02/28/2026,0
3500 Opening Balance Equity,03/31/2025,0
3500 Opening Balance Equity,04/30/2025,0
3500 Opening Balance Equity,05/31/2025,0
3500 Opening Balance Equity,06/30/2025,0
3500 Opening Balance Equity,07/31/2025,0
3500 Opening Balance Equity,08/31/2025,0
3500 Opening Balance Equity,09/30/2025,0
3500 Opening Balance Equity,10/31/2025,0
3500 Opening Balance Equity,11/30/2025,0
3500 Opening Balance Equity,12/31/2025,0
